bandwidth_mbps,split_idx,mode,total_packets,missing_packets,sample_count,top1_acc,top5_acc,avg_ce_loss,samples,optimal_split_idx,edge_ms,server_ms,comm_ms,total_ms,activation_mb
0.2,17,oracle,31,20,1,34.0,54.0,5.001887180805206,100,17,5.1810073333437385,0.7487119999799082,149.5361328125,155.46585214582365,0.0299072265625
0.2,17,random,31,20,3,0.0,0.0,7.815247152646383,300,17,5.1810073333437385,0.7487119999799082,149.5361328125,155.46585214582365,0.0299072265625
0.5,17,clean,31,5,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,oracle,31,5,1,89.0,98.0,0.4500047945245751,100,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,random,31,5,3,11.666666666666666,17.666666666666668,6.6685290494126575,300,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,clean,31,10,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,oracle,31,10,1,89.0,98.0,1.0880034321988932,100,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,random,31,10,3,0.3333333333333333,2.3333333333333335,7.5845965758959455,300,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,clean,31,20,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,oracle,31,20,1,34.0,54.0,5.001887180805206,100,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
0.5,17,random,31,20,3,0.0,0.0,7.815247152646383,300,17,5.1810073333437385,0.7487119999799082,59.814453125,65.74417245832365,0.0299072265625
1.0,17,clean,31,5,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,oracle,31,5,1,89.0,98.0,0.4500047945245751,100,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,random,31,5,3,11.666666666666666,17.666666666666668,6.6685290494126575,300,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,clean,31,10,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,oracle,31,10,1,89.0,98.0,1.0880034321988932,100,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,random,31,10,3,0.3333333333333333,2.3333333333333335,7.5845965758959455,300,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,clean,31,20,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,oracle,31,20,1,34.0,54.0,5.001887180805206,100,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
1.0,17,random,31,20,3,0.0,0.0,7.815247152646383,300,17,5.1810073333437385,0.7487119999799082,29.9072265625,35.836945895823646,0.0299072265625
2.0,17,clean,31,5,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625
2.0,17,oracle,31,5,1,89.0,98.0,0.4500047945245751,100,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625
2.0,17,random,31,5,3,11.666666666666666,17.666666666666668,6.6685290494126575,300,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625
2.0,17,clean,31,10,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625
2.0,17,oracle,31,10,1,89.0,98.0,1.0880034321988932,100,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625
2.0,17,random,31,10,3,0.3333333333333333,2.3333333333333335,7.5845965758959455,300,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625
2.0,17,clean,31,20,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625
2.0,17,oracle,31,20,1,34.0,54.0,5.001887180805206,100,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625
2.0,17,random,31,20,3,0.0,0.0,7.815247152646383,300,17,5.1810073333437385,0.7487119999799082,14.95361328125,20.883332614573646,0.0299072265625
5.0,17,clean,31,5,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,5.9814453125,11.911164645823646,0.0299072265625
5.0,17,oracle,31,5,1,89.0,98.0,0.4500047945245751,100,17,5.1810073333437385,0.7487119999799082,5.9814453125,11.911164645823646,0.0299072265625
5.0,17,random,31,5,3,11.666666666666666,17.666666666666668,6.6685290494126575,300,17,5.1810073333437385,0.7487119999799082,5.9814453125,11.911164645823646,0.0299072265625
5.0,17,clean,31,10,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,5.9814453125,11.911164645823646,0.0299072265625
5.0,17,oracle,31,10,1,89.0,98.0,1.0880034321988932,100,17,5.1810073333437385,0.7487119999799082,5.9814453125,11.911164645823646,0.0299072265625
5.0,17,random,31,10,3,0.3333333333333333,2.3333333333333335,7.5845965758959455,300,17,5.1810073333437385,0.7487119999799082,5.9814453125,11.911164645823646,0.0299072265625
5.0,17,clean,31,20,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,5.9814453125,11.911164645823646,0.0299072265625
5.0,17,oracle,31,20,1,34.0,54.0,5.001887180805206,100,17,5.1810073333437385,0.7487119999799082,5.9814453125,11.911164645823646,0.0299072265625
5.0,17,random,31,20,3,0.0,0.0,7.815247152646383,300,17,5.1810073333437385,0.7487119999799082,5.9814453125,11.911164645823646,0.0299072265625
10.0,17,clean,31,5,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,2.99072265625,8.920441989573646,0.0299072265625
10.0,17,oracle,31,5,1,89.0,98.0,0.4500047945245751,100,17,5.1810073333437385,0.7487119999799082,2.99072265625,8.920441989573646,0.0299072265625
10.0,17,random,31,5,3,11.666666666666666,17.666666666666668,6.6685290494126575,300,17,5.1810073333437385,0.7487119999799082,2.99072265625,8.920441989573646,0.0299072265625
10.0,17,clean,31,10,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,2.99072265625,8.920441989573646,0.0299072265625
10.0,17,oracle,31,10,1,89.0,98.0,1.0880034321988932,100,17,5.1810073333437385,0.7487119999799082,2.99072265625,8.920441989573646,0.0299072265625
10.0,17,random,31,10,3,0.3333333333333333,2.3333333333333335,7.5845965758959455,300,17,5.1810073333437385,0.7487119999799082,2.99072265625,8.920441989573646,0.0299072265625
10.0,17,clean,31,20,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,2.99072265625,8.920441989573646,0.0299072265625
10.0,17,oracle,31,20,1,34.0,54.0,5.001887180805206,100,17,5.1810073333437385,0.7487119999799082,2.99072265625,8.920441989573646,0.0299072265625
10.0,17,random,31,20,3,0.0,0.0,7.815247152646383,300,17,5.1810073333437385,0.7487119999799082,2.99072265625,8.920441989573646,0.0299072265625
20.0,17,clean,31,5,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,1.495361328125,7.425080661448646,0.0299072265625
20.0,17,oracle,31,5,1,89.0,98.0,0.4500047945245751,100,17,5.1810073333437385,0.7487119999799082,1.495361328125,7.425080661448646,0.0299072265625
20.0,17,random,31,5,3,11.666666666666666,17.666666666666668,6.6685290494126575,300,17,5.1810073333437385,0.7487119999799082,1.495361328125,7.425080661448646,0.0299072265625
20.0,17,clean,31,10,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,1.495361328125,7.425080661448646,0.0299072265625
20.0,17,oracle,31,10,1,89.0,98.0,1.0880034321988932,100,17,5.1810073333437385,0.7487119999799082,1.495361328125,7.425080661448646,0.0299072265625
20.0,17,random,31,10,3,0.3333333333333333,2.3333333333333335,7.5845965758959455,300,17,5.1810073333437385,0.7487119999799082,1.495361328125,7.425080661448646,0.0299072265625
20.0,17,clean,31,20,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,1.495361328125,7.425080661448646,0.0299072265625
20.0,17,oracle,31,20,1,34.0,54.0,5.001887180805206,100,17,5.1810073333437385,0.7487119999799082,1.495361328125,7.425080661448646,0.0299072265625
20.0,17,random,31,20,3,0.0,0.0,7.815247152646383,300,17,5.1810073333437385,0.7487119999799082,1.495361328125,7.425080661448646,0.0299072265625
50.0,17,clean,31,5,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,0.59814453125,6.527863864573646,0.0299072265625
50.0,17,oracle,31,5,1,89.0,98.0,0.4500047945245751,100,17,5.1810073333437385,0.7487119999799082,0.59814453125,6.527863864573646,0.0299072265625
50.0,17,random,31,5,3,11.666666666666666,17.666666666666668,6.6685290494126575,300,17,5.1810073333437385,0.7487119999799082,0.59814453125,6.527863864573646,0.0299072265625
50.0,17,clean,31,10,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,0.59814453125,6.527863864573646,0.0299072265625
50.0,17,oracle,31,10,1,89.0,98.0,1.0880034321988932,100,17,5.1810073333437385,0.7487119999799082,0.59814453125,6.527863864573646,0.0299072265625
50.0,17,random,31,10,3,0.3333333333333333,2.3333333333333335,7.5845965758959455,300,17,5.1810073333437385,0.7487119999799082,0.59814453125,6.527863864573646,0.0299072265625
50.0,17,clean,31,20,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,0.59814453125,6.527863864573646,0.0299072265625
50.0,17,oracle,31,20,1,34.0,54.0,5.001887180805206,100,17,5.1810073333437385,0.7487119999799082,0.59814453125,6.527863864573646,0.0299072265625
50.0,17,random,31,20,3,0.0,0.0,7.815247152646383,300,17,5.1810073333437385,0.7487119999799082,0.59814453125,6.527863864573646,0.0299072265625
100.0,17,clean,31,5,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,0.299072265625,6.228791598948646,0.0299072265625
100.0,17,oracle,31,5,1,89.0,98.0,0.4500047945245751,100,17,5.1810073333437385,0.7487119999799082,0.299072265625,6.228791598948646,0.0299072265625
100.0,17,random,31,5,3,11.666666666666666,17.666666666666668,6.6685290494126575,300,17,5.1810073333437385,0.7487119999799082,0.299072265625,6.228791598948646,0.0299072265625
100.0,17,clean,31,10,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,0.299072265625,6.228791598948646,0.0299072265625
100.0,17,oracle,31,10,1,89.0,98.0,1.0880034321988932,100,17,5.1810073333437385,0.7487119999799082,0.299072265625,6.228791598948646,0.0299072265625
100.0,17,random,31,10,3,0.3333333333333333,2.3333333333333335,7.5845965758959455,300,17,5.1810073333437385,0.7487119999799082,0.299072265625,6.228791598948646,0.0299072265625
100.0,17,clean,31,20,1,96.0,99.0,0.20776818205393283,100,17,5.1810073333437385,0.7487119999799082,0.299072265625,6.228791598948646,0.0299072265625
100.0,17,oracle,31,20,1,34.0,54.0,5.001887180805206,100,17,5.1810073333437385,0.7487119999799082,0.299072265625,6.228791598948646,0.0299072265625
100.0,17,random,31,20,3,0.0,0.0,7.815247152646383,300,17,5.1810073333437385,0.7487119999799082,0.299072265625,6.228791598948646,0.0299072265625
